ID,Category,Query,Ground Truth Answer,Model Name,Model Answer,ROUGE-L Score,BERTScore,Jaccard Score,Cosine Similarity
1,Factual Recall,What is the purpose of the Chameleon Associate Sites?,"Chameleon Associate Sites are independently-owned and operated hardware resources at other institutions that are integrated into the main Chameleon testbed. Their purpose is twofold:   

For the Chameleon Community: They expand the testbed's scale and hardware diversity, offering unique capabilities not available at the core sites. For example, the site at Northwestern University (CHI@NU) provides nodes with 100G NICs for advanced networking experiments. These resources are available to all Chameleon users through the federated login system.   

For the Host Institution: They provide a turnkey solution for institutions to establish their own research cloud without the high cost and operational overhead of developing the infrastructure from scratch. The central Chameleon team handles user support, system upgrades, and provides a suite of operational tools, allowing the host institution to focus on managing its physical hardware.   

This federation is made possible by CHI-in-a-Box, a distributable software package containing the entire Chameleon infrastructure stack.",model_1_answer,"The purpose of Chameleon Associate Sites is to allow providers to add resources to the Chameleon testbed while retaining their own project identity. This allows users to discover and use these resources while still being managed by the provider's team.

This information comes from the context provided and can be found in the section ""Chameleon Associate"" under the ""We have identified demand for three types of scenarios..."" paragraph.

Source: https://docs.chameleoncloud.org/en/latest/user/associate_sites.html",0.16170212765957448,0.7680056095123291,0.08,0.4655630292083182
2,Factual Recall,What specific model of GPU is available on the gpu_rtx_8000 nodes?,"The GPU available on these nodes is the NVIDIA Quadro RTX 8000. It is a high-end professional graphics card designed for complex visual computing, ray tracing, and AI workloads. Its key specifications include :   

GPU Memory: 48 GB of GDDR6 memory (scalable to 96 GB with NVLink).

CUDA Cores: 4,608 for parallel computing.

Tensor Cores: 576 for AI and deep learning acceleration.

RT Cores: 72 for hardware-accelerated, real-time ray tracing.",model_1_answer,The specific model of GPU available on the gpu_rtx_8000 nodes is Nvidia RTX 6000. This information comes from the Chameleon Documentation and can be found here: https://docs.chameleoncloud.org/en/latest/user/gpu-support-status.html.,0.17857142857142855,0.7342286705970764,0.125,0.17367582381120683
3,How-To,How do I create an isolated network for my instances using the GUI?,"You can create an isolated network, which functions as a private Layer-2 VLAN, through the Chameleon web dashboard. This allows you to run your own network services, like DHCP, without interfering with other users. Here is the step-by-step process :   

Create the Network and Subnet:

Navigate to the Network > Networks page and click the +Create Network button.

In the wizard, give your network a name.

On the Subnet tab, provide a name for the subnet and define its private IP address range in CIDR notation (e.g., 192.168.1.0/24).

On the Subnet Details tab, you can optionally configure DHCP allocation pools and specify DNS servers. Click Create to finish.

Create a Router:

Navigate to the Network > Routers page and click +Create Router.

Give the router a name and click Create Router.

Connect the Router to the Subnet:

On the Routers page, find your new router and click on its name.

Go to the Interfaces tab and click Add Interface.

In the dialog, select the subnet you created in the first step and click Submit.

Your isolated network is now configured and can be attached to instances during launch",model_1_answer,"To create an isolated network for my instances using the GUI, I need to go to the ""Advanced Networking"" section and select ""Isolated networks"". This is because isolated networks allow me to create private Layer-2 VLANs for multi-node experiments.

Source: Chameleon Cloud documentation, link: https://docs.chameleoncloud.org/en/latest/user/advanced-networking.html#isolated-networks",0.13545816733067728,0.7503588795661926,0.11688311688311688,0.303705225104711
4,How-To,How do I find and use a pre-configured Jupyter notebook on Chameleon?,"You can find and use pre-configured Jupyter notebooks through Trovi, Chameleon's sharing portal for reproducible experiments.   

Find the Notebook: Navigate to the Trovi portal by selecting ""Trovi"" from the ""Experiment"" dropdown menu on the main Chameleon website. Here you will see a catalog of public ""artifacts,"" which are packaged experiments often containing Jupyter notebooks, scripts, and documentation.   

Use the Notebook: Once you find an artifact you want to use, click the ""Launch on Chameleon"" button. This will open the artifact, including its Jupyter notebook, directly within Chameleon's shared JupyterHub environment, which is accessible to all users with an active project allocation. The notebook will contain the code and instructions needed to replicate the experiment.   ",model_1_answer,"To find and use a pre-configured Jupyter notebook on Chameleon, follow these steps: Go to the Chameleon home page and click on the ""Experiment"" tab. Select the ""Jupyter Interface"" item from the dropdown menu. This will launch a new window which will begin loading the Jupyter server. This information comes from the Jupyter Interface documentation on the Chameleon Cloud Documentation site: https://docs.chameleoncloud.org/en/latest/user/jupyter_interface.html",0.25396825396825395,0.8267709016799927,0.16176470588235295,0.5509599272273591
5,Troubleshooting,"My bare metal node is stuck in the ""deploying"" state for a long time. What should I do?","If a bare metal node remains in the ""deploying"" state for an extended period, it may be experiencing an issue during the boot or provisioning process. The recommended course of action is :   

Wait: The deployment process for a physical node can sometimes take several minutes. It is advisable to wait at least 10-15 minutes to see if the process completes on its own.

Contact Support: If the node is still stuck after this waiting period, you should open a ticket with the Chameleon Help Desk. The operations team can investigate the underlying cause of the deployment failure and resolve the issue. ",model_1_answer,"The issue you're experiencing is not related to the context provided. The context discusses issues with launching instances and reservations, but it doesn't mention nodes stuck in the ""deploying"" state. However, I can suggest that you try checking the status of your node and lease as described in the documentation on making reservations. If none of these solve your problem, please open a ticket with our help desk. This information comes from the FAQs site: https://docs.chameleoncloud.org/en/latest/faq.html",0.19251336898395724,0.7649144530296326,0.136986301369863,0.4627130917834989
6,Troubleshooting,"I get an ""Error 403: Forbidden"" when trying to use the OpenStack CLI. What's wrong?","An ""Error 403: Forbidden"" when using the OpenStack command-line interface (CLI) is most commonly caused by missing or improperly sourced credentials.   

To use the CLI, you must first authenticate your session. This is done by sourcing an OpenStack RC script (often called a novarc file) in your terminal. This file contains the necessary environment variables (like your username, password, project ID, and authentication URL) that the CLI tools need to communicate with the Chameleon API.

Solution: Ensure you have downloaded your project's OpenStack RC script from the Chameleon dashboard and have sourced it correctly in your terminal session (e.g., by running source your-project-openrc.sh) before executing any other commands.",model_1_answer,"Here are the answers to your questions:
Is there a way to figure out if the password entered is correct?
No, there isn't a way to verify passwords. If you think you have forgotten your password, we can reset it via the help desk.
Source: Openstack python client issue: The request you have made requires authentication. Do I have the same problem? It seems that others have experienced similar issues, but it's not clear if it's a widespread problem. Mark mentions an intermittent issue with KVM upgrades, which was fixed. Source: Openstack python client issue: The request you have made requires authentication",0.1461187214611872,0.7415143251419067,0.047058823529411764,0.2990398122999422
7,Conceptual,"What is ""CHI-in-a-Box""?","CHI-in-a-Box is a distributable software package that contains the complete, containerized infrastructure stack that powers the Chameleon testbed. It bundles the open-source cloud platform OpenStack with all of the Chameleon-specific customizations and operational tools needed to run a research-oriented cloud.   

These customizations include features not found in a standard OpenStack installation, such as bare metal snapshotting, network stitching for connecting to other testbeds, and advanced hardware reservation capabilities. CHI-in-a-Box is the technology that enables other institutions to set up their own Chameleon Associate Sites, allowing them to join the federated testbed without having to develop their own complex cloud software from scratch",model_1_answer,"CHI-in-a-box is a packaging of the implementation of the core services that together constitute the Chameleon testbed for experimental Computer Science research. It allows users to discover, allocate, configure, and monitor resources on the Chameleon infrastructure. This information comes from the FAQs site: https://www.chameleoncloud.org/helpdesk/",0.22222222222222227,0.785165011882782,0.04225352112676056,0.3784980374125681
8,Conceptual,"What does it mean for Chameleon to support ""deep reconfigurability""?","""Deep reconfigurability"" is the core design principle of the Chameleon testbed. It means giving researchers an unparalleled level of control over the entire software stack on physical, non-virtualized hardware. This is achieved through several key features:   

Bare Metal Access: Researchers are given exclusive access to entire physical servers, ensuring that experiments are free from the performance interference (""noise"") that can occur in shared or virtualized environments.   

Full Administrative Privileges: Users have root (sudo) access on their reserved nodes. This allows them to install a custom operating system, modify the kernel, change bootloader configurations, and access the machine's serial console.   

This level of control is essential for many areas of computer science systems research where the experiment involves modifying the operating system itself or requires precise, repeatable performance measurements.",model_1_answer,"According to the context, ""deep reconfigurability"" is not explicitly mentioned in the provided text. However, it can be inferred that Chameleon supports deep reconfigurability due to its ability to provide access to bare-metal machines with optional GPU and interconnection choices, as well as support for FPGAs (Field-Programmable Gate Arrays) which allow users to customize their hardware configuration.Source: Experiment Implementation on Chameleon and FPGAs — Chameleon Cloud Documentation",0.1206030150753769,0.7846275568008423,0.07,0.23610157208369123
9,Comparative,What is the difference between a Floating IP and a Private IP?,"On Chameleon, Private IPs and Floating IPs serve distinct networking purposes :   

Private IP (Fixed IP): This is an IP address assigned to an instance for communication within Chameleon's internal network (e.g., sharednet1). It is not directly reachable from the public internet. Instances use their private IP to communicate with each other and to initiate outbound connections to the internet through a Network Address Translation (NAT) gateway.   

Floating IP: This is a publicly routable IPv4 address that can be dynamically associated with an instance. A Floating IP is required for an instance to be directly accessible from the public internet (for example, to connect via SSH from your laptop or to host a public web server). Floating IPs are a limited, shared resource, so users are encouraged to release them when they are no longer needed. ",model_1_answer,"A Floating IP is a publicly accessible IP address that can be associated with an instance, allowing it to be accessed over the public Internet. A Private IP, on the other hand, is not publicly accessible and is used for internal communication within the Chameleon Cloud. This information comes from the Chameleon Cloud documentation, specifically the section on 'Step 1: Associate an IP' and 'Step 2: Accessing Your Instance'.",0.22330097087378642,0.8111696243286133,0.21875,0.537024003142143
10,Comparative,When should I use an FPGA node versus a GPU node?,"While the Chameleon documentation does not provide a direct comparison, the choice between an FPGA and a GPU depends on the specific requirements of your research, based on the fundamental differences in their architectures :   

Use a GPU Node for: High-throughput, data-parallel computations. GPUs contain thousands of cores optimized for performing the same operation on large amounts of data simultaneously. This makes them exceptionally well-suited for the matrix and vector operations that dominate deep learning model training and inference, scientific simulations, and high-performance computing (HPC).   

Use an FPGA Node for: Latency-critical or power-sensitive applications requiring custom hardware logic. An FPGA (Field-Programmable Gate Array) is a fabric of reconfigurable logic blocks, not a fixed set of cores. This allows you to design and implement a custom digital circuit optimized for a specific algorithm. FPGAs can offer advantages in low-latency processing (e.g., network packet processing, real-time signal processing), power efficiency, and for prototyping novel hardware accelerators before committing to a final chip design (ASIC).",model_1_answer,"You should use an FPGA node when you need to perform tasks that require the unique capabilities of Field-Programmable Gate Arrays, such as high-speed data processing and acceleration. On the other hand, a GPU node is more suitable for general-purpose computing and deep learning workloads.This information comes from the Chameleon documentation on FPGA nodes and their specifications: https://chameleoncloud.org/docs/fpga/",0.16033755274261602,0.792573869228363,0.1276595744680851,0.4222303946732441
